"Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. desember 1997-2014"

"Sveitarfélag";"Aldur";"2004 Alls";"2005 Alls";"2006 Alls";"2007 Alls";"2008 Alls";"2009 Alls";"2010 Alls";"2011 Alls";"2012 Alls";"2013 Alls";"2014 Alls"
"Fljótsdalshérað";"Alls";3364;3905;4644;4073;3707;3465;3406;3404;3438;3476;3457
"Bæjarhreppur (A-Skaftafellssýslu)";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Borgarhafnarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hofshreppur (A-Skaftafellssýslu)";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hornarfjarðarbær";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Sveitarfélagið Hornafjörður";"Alls";2225;2189;2186;2120;2110;2089;2116;2141;2167;2169;2149
"Vestmannaeyjar";"Alls";4227;4175;4075;4040;4090;4129;4133;4193;4219;4246;4274
"Selfoss";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Sveitarfélagið Árborg";"Alls";6522;6961;7280;7565;7928;7810;7818;7776;7833;7888;8035
"Mýrdalshreppur";"Alls";509;503;496;488;487;511;474;457;459;491;483
"Skaftárhreppur";"Alls";506;490;485;466;467;450;447;442;445;453;459
"Austur-Eyjafjallahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Vestur-Eyjafjallahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Austur-Landeyjahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Vestur-Landeyjahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Fljótshlíðarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hvolhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Rangárvallahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Ásahreppur";"Alls";150;164;158;171;182;190;194;204;192;195;216
"Djúpárhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Holta- og Landsveit";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Rangárþing eystra";"Alls";1651;1672;1694;1741;1762;1744;1753;1744;1742;1703;1747
"Rangárþing ytra";"Alls";1450;1459;1526;1547;1610;1545;1530;1504;1520;1563;1545
"Gaulverjabæjarhreppur";"Alls";138;141;-;-;-;-;-;-;-;-;-
"Stokkseyrarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Eyrarbakkahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Sandvíkurhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hraungerðishreppur";"Alls";196;200;-;-;-;-;-;-;-;-;-
"Villingaholtshreppur";"Alls";183;185;-;-;-;-;-;-;-;-;-
"Skeiðahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Gnúpverjahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hrunamannahreppur";"Alls";754;767;786;794;794;789;793;771;781;784;786
"Biskupstungnahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Laugardalshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Grímsneshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Þingvallahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Grafningshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hveragerði";"Alls";2021;2089;2189;2274;2316;2302;2317;2275;2283;2312;2383
"Sveitarfélagið Ölfus";"Alls";1725;1799;1854;1930;2002;1945;1909;1922;1902;1901;1894
"Grímsnes- og Grafningshreppur";"Alls";344;356;375;379;444;415;401;420;423;416;434
"Skeiða- og Gnúpverjahreppur";"Alls";529;521;527;535;516;519;504;508;500;528;514
"Bláskógabyggð";"Alls";888;921;921;972;986;937;942;907;892;931;967
"Flóahreppur";"Alls";-;-;551;576;592;595;591;601;641;628;617
