"Mannfjöldi eftir sveitarfélögum 1901-1990"

"Sveitarfélag";"1901 1. nóvember";"1910 1. desember";"1920 1. desember";"1930 2. desember";"1940 2. desember";"1950 1. desember";"1960 1. desember";"1970 1. desember";"1980 1. desember";"1990 1. desember"
"Şórshafnarhreppur (1946)";.;.;.;.;.;363;427;405;439;399
"Sauğaneshreppur (1946)";350;389;446;489;533;153;111;64;61;48
"Austurland";10367;9713;10214;10461;10123;9705;10367;11315;12856;13216
"Seyğisfjörğur (1895, 1990)";841;928;871;936;904;744;745;884;998;981
"Neskaupstağur (1929, 1943, 1949)";.;.;.;1118;1106;1301;1436;1552;1683;1738
"Eskifjörğur (1974, 1988)";.;.;.;.;.;.;.;.;1043;1056
"Skeggjastağahreppur";249;223;239;281;262;209;176;130;127;132
"Vopnafjarğarhreppur";987;742;729;738;713;677;740;808;903;908
"Hlíğarhreppur";133;124;137;133;139;145;144;159;133;98
"Jökuldalshreppur";309;232;282;197;230;200;203;175;175;166
"Fljótsdalshreppur";296;287;303;257;227;207;225;202;156;118
"Fellahreppur";246;209;219;185;188;165;159;189;296;391
"Tunguhreppur";294;229;237;215;203;195;201;136;124;99
"Hjaltastağarhreppur";306;265;214;207;188;168;177;124;101;86
"Borgarfjarğarhreppur (1973)";398;432;402;317;294;281;348;282;239;215
"Loğmundarfjarğarhreppur (1973)";87;67;61;77;50;40;23;1;.;.
"Seyğisfjarğarhreppur (1990)";280;204;140;159;176;99;60;40;42;.
"Skriğdalshreppur";206;168;143;197;138;135;134;135;115;110
"Vallahreppur (1947)";306;273;257;237;257;186;205;182;174;166
"Egilsstağir (1947, 1987)";.;.;.;.;.;137;280;718;1140;1457
"Eiğahreppur (1947)";242;223;253;148;211;183;196;164;154;153
"Mjóafjarğarhreppur";398;295;201;178;189;159;67;49;34;32
"Neshreppur (1913, 1929)";.;.;770;.;.;.;.;.;.;.
"Norğfjarğarhreppur (1913, 1943, 1949)";620;784;254;218;204;170;127;116;103;85
"Helgustağahreppur (1907, 1988)";.;261;246;218;142;131;90;43;38;.
"Eskifjarğarhreppur (1907, 1969, 1974)";.;425;616;759;690;669;741;936;.;.
"Reyğarfjarğarhreppur (1907, 1969)";945;331;454;478;478;499;554;646;726;727
"Fáskrúğsfjarğarhreppur (1907)";765;423;426;359;372;284;230;168;122;95
"Búğahreppur (1907)";.;393;461;637;550;581;631;720;760;757
"Stöğvarhreppur (1905)";.;167;163;173;186;194;219;292;342;343
"Breiğdalshreppur (1905)";672;360;364;326;305;251;302;338;372;351
"Beruneshreppur";221;182;195;152;147;137;150;116;99;79
"Búlandshreppur (1940)";.;.;.;.;270;303;309;321;393;456
"Geithellnahreppur (1940)";404;358;419;434;158;116;118;114;87;71
"Bæjarhreppur";174;211;226;201;157;106;110;90;73;51
"Nesjahreppur (1946, 1966)";330;328;317;368;449;205;211;216;288;301
"Höfn (1946, 1966, 1988)";.;.;.;.;.;434;632;901;1455;1668
"Mırahreppur";220;191;213;185;165;89;117;111;104;92
"Borgarhafnarhreppur";206;188;200;181;176;148;153;131;133;115
"Hofshreppur";232;210;202;192;199;157;154;126;124;119
"Suğurland";13311;13250;13754;13604;13596;13847;16018;18052;19637;20402
"Vestmannaeyjar (1919)";607;1319;2426;3393;3587;3726;4643;5186;4727;4926
"Selfoss (1978)";.;.;.;.;.;.;.;.;3409;3915
"Hörgslandshreppur (1990)";301;292;297;275;258;218;200;192;180;.
"Kirkjubæjarhreppur (1990)";283;252;207;222;197;209;226;225;283;.
"Skaftártunguhreppur (1990)";135;146;110;108;97;76;87;99;94;.
"Leiğvallarhreppur (1990)";256;182;223;232;221;152;94;96;84;.
"Álftavershreppur (1990)";115;122;97;106;101;83;72;65;52;.
"Skaftárhreppur (1990)";.;.;.;.;.;.;.;.;.;612
"Hvammshreppur (1984)";485;510;572;536;451;492;509;534;492;.
"Dyrhólahreppur (1984)";369;331;312;244;254;194;185;182;159;.
"Mırdalshreppur (1984)";.;.;.;.;.;.;.;.;.;599
"Austur-Eyjafjallahreppur";419;398;358;308;260;241;257;252;243;195
"Vestur-Eyjafjallahreppur";533;502;447;463;415;335;316;282;226;211
"Austur-Landeyjahreppur";405;387;358;348;317;240;199;182;211;210
"Vestur-Landeyjahreppur";428;300;354;323;269;229;204;179;194;186
"Fljótshlíğarhreppur";492;469;434;398;392;394;385;330;251;227
"Hvolhreppur";278;249;239;222;225;270;308;442;702;685
"Rangárvallahreppur";423;394;341;310;306;345;452;584;733;746
"Landmannahreppur";310;307;285;262;227;167;157;127;129;134
"Holtahreppur";369;372;387;291;304;284;274;312;314;270
"Ásahreppur (1938)";709;646;598;580;248;153;184;170;193;158
"Djúpárhreppur (1938)";.;.;.;.;329;305;316;339;297;245
"Gaulverjabæjarhreppur";461;376;340;340;314;256;255;231;159;146
"Stokkseyrarhreppur";943;897;886;678;749;552;482;476;570;493
"Eyrarbakkahreppur (1947)";720;840;923;636;495;521;475;511;559;541
"Sandvíkurhreppur (1947)";299;262;215;216;369;128;139;140;127;113
"Selfosshreppur (1947, 1978)";.;.;.;.;.;999;1767;2397;.;.
"Hraungerğishreppur (1947)";376;362;303;249;275;227;233;230;224;194
"Villingaholtshreppur";365;362;305;284;278;247;218;231;191;193
"Skeiğahreppur";259;298;314;278;241;239;255;263;254;248
"Gnúpverjahreppur (1907)";282;231;238;229;219;219;244;381;339;304
"Hrunamannahreppur (1978, 1987)";498;454;425;398;408;393;431;484;513;612
"Biskupstungnahreppur (1978, 1987)";591;521;462;403;405;405;468;483;520;483
"Laugardalshreppur (1905)";.;167;145;278;238;169;226;267;230;237
"Grímsneshreppur (1905)";599;413;391;320;346;316;316;303;278;261
"Şingvallahreppur";121;104;95;106;76;79;64;51;48;46
"Grafningshreppur";106;101;89;79;75;49;98;73;51;51
"Hveragerği (1946, 1987, 1990)";.;.;.;.;.;529;665;807;1254;1596
"Ölfushreppur (1946, 1989, 1990)";659;598;475;393;561;345;571;921;1331;1565
"Selvogshreppur (1989)";115;86;103;96;89;61;43;25;16;.
"Óstağsettir";537;.;.;.;.;.;.;.;.;.
