Framlög til sveitarfélaga 2006-2014  ,,
,,
Ár,Sveitarfélag,Framlög á íbúa Alls
2011,Hveragerðisbær,139555
2011,Sveitarfélagið Ölfus,97382
2011,Grímsnes- og Grafningshreppur,117452
2011,Skeiða- og Gnúpverjahreppur,120490
2011,Bláskógabyggð,132476
2011,Flóahreppur,310156
2012,Reykjavíkurborg,23714
2012,Kópavogsbær,15470
2012,Seltjarnarneskaupstaður,29298
2012,Garðabær,18035
2012,Hafnarfjarðarkaupstaður,29004
2012,Sveitarfélagið Álftanes,429083
2012,Mosfellsbær,51402
2012,Kjósarhreppur,51138
2012,Reykjanesbær,96616
2012,Grindavíkurbær,108282
2012,Sandgerðisbær,148453
2012,Sveitarfélagið Garður,199617
2012,Sveitarfélagið Vogar,211689
2012,Akraneskaupstaður,67150
2012,Hvalfjarðarstrandarhreppur,.
2012,Skilmannahreppur,.
2012,Innri-Akraneshreppur,.
2012,Leirár- og Melahreppur,.
2012,Skorradalshreppur,112401
2012,Borgarfjarðarsveit,.
2012,Hvalfjarðarsveit,69516
2012,Hvítársíðuhreppur,.
2012,Borgarbyggð,182060
2012,Kolbeinsstaðahreppur,.
2012,Grundarfjarðarbær,139828
2012,Helgafellssveit,167028
2012,Stykkishólmsbær,143985
2012,Eyja- og Miklaholtshreppur,172147
2012,Snæfellsbær,156229
2012,Saurbæjarhreppur,.
2012,Dalabyggð,303227
2012,Bolungarvíkurkaupstaður,163297
2012,Ísafjarðarbær,148090
2012,Reykhólahreppur,318857
2012,Tálknafjarðarhreppur,248997
2012,Vesturbyggð,223382
2012,Súðavíkurhreppur,418440
2012,Árneshreppur,238760
2012,Kaldrananeshreppur,291568
2012,Bæjarhreppur,.
2012,Broddaneshreppur,.
2012,Hólmavíkurhreppur,.
2012,Strandabyggð,306434
2012,Siglufjarðarkaupstaður,.
2012,Sveitarfélagið Skagafjörður,143717
2012,Húnaþing vestra,320067
2012,Áshreppur,.
2012,Blönduóssbær,174543
2012,Sveitarfélagið Skagaströnd,153491
2012,Skagabyggð,346536
2012,Húnavatnshreppur,232083
2012,Akrahreppur,344393
2012,Akureyrarkaupstaður,58634
2012,Húsavíkurbær (Norðurþing),168216
2012,Fjallabyggð,144829
2012,Ólafsfjarðarbær,.
2012,Dalvíkurbyggð,174640
2012,Grímseyjarhreppur,.
2012,Arnarneshreppur,.
2012,Eyjafjarðarsveit,238888
2012,Hörgárbyggð,.
2012,Hörgársveit,249844
2012,Svalbarðsstrandarhreppur,179522
2012,Grýtubakkahreppur,220197
2012,Skútustaðahreppur,189495
2012,Aðaldælahreppur,.
2012,Tjörneshreppur,60228
2012,Þingeyjarsveit,265547
2012,Kelduneshreppur,.
2012,Öxarfjarðarhreppur,.
2012,Raufarhafnarhreppur,.
2012,Svalbarðshreppur,250370
2012,Þórshafnarhreppur,.
2012,Langanesbyggð,274469
2012,Seyðisfjarðarkaupstaður,138280
2012,Fjarðabyggð,60939
2012,Skeggjastaðahreppur,.
2012,Vopnafjarðarhreppur,183558
2012,Fljótsdalshreppur,175983
2012,Borgarfjarðarhreppur,335449
2012,Mjóafjarðarhreppur,.
2012,Fáskrúðsfjarðarhreppur,.
2012,Breiðdalshreppur,219716
2012,Djúpavogshreppur,222854
2012,Austubyggð,.
2012,Fljótsdalshérað,175040
2012,Sveitarfélagið Hornafjörður,169914
2012,Vestmannaeyjabær,63662
2012,Sveitarfélagið Árborg,93237
2012,Mýrdalshreppur,220645
2012,Skaftárhreppur,212133
2012,Ásahreppur,50534
2012,Rangárþing eystra,188351
2012,Rangárþing ytra,165376
2012,Gaulverjabæjarhreppur,.
2012,Hraungerðishreppur,.
2012,Villingaholtshreppur,.
2012,Hrunamannahreppur,212395
2012,Hveragerðisbær,143144
2012,Sveitarfélagið Ölfus,107283
2012,Grímsnes- og Grafningshreppur,113961
2012,Skeiða- og Gnúpverjahreppur,96643
2012,Bláskógabyggð,125985
